JulianDate,Plot,drymass_g,FracSoilC,soilcmass_g,slope_ug_g_min
204,4,14.28953572,0.056258264,0.803904473,0.023595959
204,5,14.95704845,0.053439951,0.799303936,0.021593729
204,6,15.20264152,0.056362486,0.85685867,0.024902435
204,7,14.36511804,0.04723691,0.678563788,0.017750149
204,8,14.79696722,0.060656929,0.89753859,0.008205767
204,9,15.90561152,0.038174934,0.60719567,0.016072272
204,10,13.22536328,0.060441909,0.799366204,0.025458331
204,11,14.035,0.048759494,0.684339498,0.015104637
204,12,14.89688312,0.035717561,0.532080332,0.009208122
204,13,15.31785298,0.06730515,1.030970392,0.020352412
204,14,13.33760869,0.049134474,0.655336387,0.023841632
204,15,15.4247181,0.035988452,0.555111727,0.009970961
204,16,14.00419288,0.031166859,0.436466705,0.011439971
204,17,14.16134414,0.048480635,0.686550956,0.007692853
204,18,14.17566667,0.033968997,0.481533179,0.009041271
204,19,13.02007435,0.049329638,0.642275554,0.010631224
204,20,16.34455978,0.050039511,0.817873779,0.014921276
204,21,15.17968253,0.062321873,0.946026247,0.013895198
204,22,13.34000001,0.059288177,0.790904282,0.019328331
204,23,14.41036972,0.054538288,0.785916894,0.022870325
204,24,13.60903051,0.071805949,0.977209351,0.013461801
204,25,12.5210103,0.114828568,1.437769683,0.031972694
204,26,14.24468209,0.098411703,1.401843423,0.031438206
204,27,14.07065934,0.088183308,1.240797286,0.015898901
204,28,14.90100796,0.097220345,1.448681135,0.014571388
204,29,13.78688572,0.107228251,1.478343642,0.022818017
204,30,13.63126637,0.09716095,1.32442679,0.021684189
204,31,13.92702568,0.098145361,1.366872963,0.021584483
204,32,11.44096677,0.123407126,1.411896828,0.030246424
204,33,12.42194891,0.100565405,1.249218323,0.021473731
204,34,14.09218242,0.056400647,0.794808206,0.010743272
204,35,12.97694391,0.063473816,0.82369615,0.012222098
204,36,13.09339705,0.095515642,1.250624225,0.011367408
204,37,11.12200001,0.071612425,0.796473392,0.017501545
204,38,12.22979144,0.081808348,1.000499034,0.030425293
204,39,13.63622093,0.105532417,1.439063353,0.004758214
204,40,12.33761391,0.109769363,1.35429202,0.024730705
204,41,12.51536633,0.056978292,0.713104197,0.022465525
204,42,11.97650523,0.142337942,1.704711107,0.045360367
204,43,12.98173333,0.084535217,1.097413644,0.029809485
204,44,13.7966611,0.09904088,1.366433456,0.011866769
204,45,14.15930942,0.0863063,1.222037607,0.021724119
204,46,NA,NA,NA,NA
204,47,11.06521445,0.18553175,2.052948601,0.022933923
204,48,5.711801897,0.12223793,0.69819884,0.049814163
211,1,14.68288241,0.02856096,0.419357217,NA
211,2,15.45218402,0.033043883,0.510600161,0.022541156
211,3,13.57254355,0.043177724,0.586031539,0.013258026
211,4,14.28953572,0.056258264,0.803904473,0.029323872
211,5,14.95704845,0.053439951,0.799303936,0.028015187
211,6,15.20264152,0.056362486,0.85685867,0.038569592
211,7,14.36511804,0.04723691,0.678563788,0.003987226
211,8,14.79696722,0.060656929,0.89753859,0.001624058
211,9,15.90561152,0.038174934,0.60719567,0.010751399
211,10,13.22536328,0.060441909,0.799366204,0.033789489
211,11,14.035,0.048759494,0.684339498,0.014483302
211,12,14.89688312,0.035717561,0.532080332,0.000654354
211,13,15.31785298,0.06730515,1.030970392,0.017182022
211,14,13.33760869,0.049134474,0.655336387,0.019929003
211,15,15.4247181,0.035988452,0.555111727,0.017232421
211,16,14.00419288,0.031166859,0.436466705,0.014324833
211,17,14.16134414,0.048480635,0.686550956,0.011332694
211,18,14.17566667,0.033968997,0.481533179,0.016628077
211,19,13.02007435,0.049329638,0.642275554,0.013096436
211,20,16.34455978,0.050039511,0.817873779,0.016624004
211,21,15.17968253,0.062321873,0.946026247,0.006450896
211,22,13.34000001,0.059288177,0.790904282,0.006917508
211,23,14.41036972,0.054538288,0.785916894,0.029107687
211,24,13.60903051,0.071805949,0.977209351,0.012713923
211,25,12.5210103,0.114828568,1.437769683,0.017196613
211,26,14.24468209,0.098411703,1.401843423,0.029222206
211,27,14.07065934,0.088183308,1.240797286,0.025711503
211,28,14.90100796,0.097220345,1.448681135,0.021674939
211,29,13.78688572,0.107228251,1.478343642,0.014741163
211,30,13.63126637,0.09716095,1.32442679,0.09816062
211,31,13.92702568,0.098145361,1.366872963,0.090730122
211,32,11.44096677,0.123407126,1.411896828,0.042569041
211,33,12.42194891,0.100565405,1.249218323,0.05065057
211,34,14.09218242,0.056400647,0.794808206,0.029020786
211,35,12.97694391,0.063473816,0.82369615,0.027699978
211,36,13.09339705,0.095515642,1.250624225,0.027863369
211,37,11.12200001,0.071612425,0.796473392,0.015672166
211,38,12.22979144,0.081808348,1.000499034,0.021057133
211,39,13.63622093,0.105532417,1.439063353,0.009562402
211,40,12.33761391,0.109769363,1.35429202,0.039475298
211,41,12.51536633,0.056978292,0.713104197,0.04096278
211,42,11.97650523,0.142337942,1.704711107,-0.012490606
211,43,12.98173333,0.084535217,1.097413644,-0.007136401
211,44,13.7966611,0.09904088,1.366433456,0.003317729
211,45,14.15930942,0.0863063,1.222037607,0.034437665
211,46,NA,NA,NA,NA
211,47,11.06521445,0.18553175,2.052948601,NA
211,48,5.711801897,0.12223793,0.69819884,NA
218,1,14.68288241,0.02856096,0.419357217,0.014140888
218,2,15.45218402,0.033043883,0.510600161,0.010336054
218,3,13.57254355,0.043177724,0.586031539,0.014382474
218,4,14.28953572,0.056258264,0.803904473,0.020491228
218,5,14.95704845,0.053439951,0.799303936,0.023287354
218,6,15.20264152,0.056362486,0.85685867,0.024221509
218,7,14.36511804,0.04723691,0.678563788,0.005883241
218,8,14.79696722,0.060656929,0.89753859,0.004989106
218,9,15.90561152,0.038174934,0.60719567,0.019054597
218,10,13.22536328,0.060441909,0.799366204,0.030700861
218,11,14.035,0.048759494,0.684339498,0.016115097
218,12,14.89688312,0.035717561,0.532080332,0.015176659
218,13,15.31785298,0.06730515,1.030970392,0.012048628
218,14,13.33760869,0.049134474,0.655336387,0.019944351
218,15,15.4247181,0.035988452,0.555111727,0.018695551
218,16,14.00419288,0.031166859,0.436466705,0.004034341
218,17,14.16134414,0.048480635,0.686550956,0.006787812
218,18,14.17566667,0.033968997,0.481533179,0.007459049
218,19,13.02007435,0.049329638,0.642275554,0.005537096
218,20,16.34455978,0.050039511,0.817873779,0.019113684
218,21,15.17968253,0.062321873,0.946026247,0.006649069
218,22,13.34000001,0.059288177,0.790904282,0.002575668
218,23,14.41036972,0.054538288,0.785916894,0.015008651
218,24,13.60903051,0.071805949,0.977209351,0.012984432
218,25,12.5210103,0.114828568,1.437769683,0.019960354
218,26,14.24468209,0.098411703,1.401843423,0.015858035
218,27,14.07065934,0.088183308,1.240797286,0.025465726
218,28,14.90100796,0.097220345,1.448681135,0.023868237
218,29,13.78688572,0.107228251,1.478343642,0.028482064
218,30,13.63126637,0.09716095,1.32442679,0.028559663
218,31,13.92702568,0.098145361,1.366872963,0.025023475
218,32,11.44096677,0.123407126,1.411896828,0.028315801
218,33,12.42194891,0.100565405,1.249218323,0.026697071
218,34,14.09218242,0.056400647,0.794808206,0.044494723
218,35,12.97694391,0.063473816,0.82369615,0.043760241
218,36,13.09339705,0.095515642,1.250624225,0.025548251
218,37,11.12200001,0.071612425,0.796473392,0.006550286
218,38,12.22979144,0.081808348,1.000499034,0.038805287
218,39,13.63622093,0.105532417,1.439063353,0.031902695
218,40,12.33761391,0.109769363,1.35429202,0.062146096
218,41,12.51536633,0.056978292,0.713104197,0.034073585
218,42,11.97650523,0.142337942,1.704711107,0.001805871
218,43,12.98173333,0.084535217,1.097413644,0.043316908
218,44,13.7966611,0.09904088,1.366433456,0.038145595
218,45,14.15930942,0.0863063,1.222037607,0.01944659
218,46,NA,NA,NA,NA
218,47,11.06521445,0.18553175,2.052948601,0.013384557
218,48,5.711801897,0.12223793,0.69819884,0.029619232
224,1,14.68288241,0.02856096,0.419357217,0.025663094
224,2,15.45218402,0.033043883,0.510600161,0.012192716
224,3,13.57254355,0.043177724,0.586031539,0.015845098
224,4,14.28953572,0.056258264,0.803904473,0.016144604
224,5,14.95704845,0.053439951,0.799303936,0.023005425
224,6,15.20264152,0.056362486,0.85685867,0.02825675
224,7,14.36511804,0.04723691,0.678563788,0.028036353
224,8,14.79696722,0.060656929,0.89753859,0.032794773
224,9,15.90561152,0.038174934,0.60719567,0.019255636
224,10,13.22536328,0.060441909,0.799366204,0.031214991
224,11,14.035,0.048759494,0.684339498,0.019666173
224,12,14.89688312,0.035717561,0.532080332,0.014399622
224,13,15.31785298,0.06730515,1.030970392,0.007134056
224,14,13.33760869,0.049134474,0.655336387,0.014208144
224,15,15.4247181,0.035988452,0.555111727,0.012552727
224,16,14.00419288,0.031166859,0.436466705,0.012649339
224,17,14.16134414,0.048480635,0.686550956,0.011847817
224,18,14.17566667,0.033968997,0.481533179,0.013611223
224,19,13.02007435,0.049329638,0.642275554,0.005474882
224,20,16.34455978,0.050039511,0.817873779,0.006785923
224,21,15.17968253,0.062321873,0.946026247,0.001688653
224,22,13.34000001,0.059288177,0.790904282,0.018254535
224,23,14.41036972,0.054538288,0.785916894,0.024013841
224,24,13.60903051,0.071805949,0.977209351,0.02640584
224,25,12.5210103,0.114828568,1.437769683,0.023774119
224,26,14.24468209,0.098411703,1.401843423,0.02416041
224,27,14.07065934,0.088183308,1.240797286,0.025803134
224,28,14.90100796,0.097220345,1.448681135,0.02893376
224,29,13.78688572,0.107228251,1.478343642,0.019750677
224,30,13.63126637,0.09716095,1.32442679,0.021564764
224,31,13.92702568,0.098145361,1.366872963,0.02090971
224,32,11.44096677,0.123407126,1.411896828,0.020814743
224,33,12.42194891,0.100565405,1.249218323,0.024052101
224,34,14.09218242,0.056400647,0.794808206,0.022274887
224,35,12.97694391,0.063473816,0.82369615,0.031475091
224,36,13.09339705,0.095515642,1.250624225,0.004621504
224,37,11.12200001,0.071612425,0.796473392,0.009033056
224,38,12.22979144,0.081808348,1.000499034,0.022265329
224,39,13.63622093,0.105532417,1.439063353,0.039937799
224,40,12.33761391,0.109769363,1.35429202,0.020206795
224,41,12.51536633,0.056978292,0.713104197,0.014807038
224,42,11.97650523,0.142337942,1.704711107,0.01389435
224,43,12.98173333,0.084535217,1.097413644,0.016586303
224,44,13.7966611,0.09904088,1.366433456,0.023574371
224,45,14.15930942,0.0863063,1.222037607,0.009504302
224,46,NA,NA,NA,NA
224,47,11.06521445,0.18553175,2.052948601,0.017772936
224,48,5.711801897,0.12223793,0.69819884,0.030965561
278,1,14.68288241,0.02856096,0.419357217,0.011472326
278,2,15.45218402,0.033043883,0.510600161,0.008164765
278,3,13.57254355,0.043177724,0.586031539,0.007436393
278,4,14.28953572,0.056258264,0.803904473,0.009050763
278,5,14.95704845,0.053439951,0.799303936,0.011217521
278,6,15.20264152,0.056362486,0.85685867,0.016986852
278,7,14.36511804,0.04723691,0.678563788,0.0263006
278,8,14.79696722,0.060656929,0.89753859,0.018040965
278,9,15.90561152,0.038174934,0.60719567,0.010360175
278,10,13.22536328,0.060441909,0.799366204,0.016959125
278,11,14.035,0.048759494,0.684339498,0.01373536
278,12,14.89688312,0.035717561,0.532080332,0.012347254
278,13,15.31785298,0.06730515,1.030970392,0.010496911
278,14,13.33760869,0.049134474,0.655336387,0.009313699
278,15,15.4247181,0.035988452,0.555111727,0.012425351
278,16,14.00419288,0.031166859,0.436466705,0.010391014
278,17,14.16134414,0.048480635,0.686550956,0.008771941
278,18,14.17566667,0.033968997,0.481533179,0.01017143
278,19,13.02007435,0.049329638,0.642275554,0.012266797
278,20,16.34455978,0.050039511,0.817873779,0.010144955
278,21,15.17968253,0.062321873,0.946026247,0.011635872
278,22,13.34000001,0.059288177,0.790904282,0.011889467
278,23,14.41036972,0.054538288,0.785916894,0.012257065
278,24,13.60903051,0.071805949,0.977209351,0.019104519
278,25,12.5210103,0.114828568,1.437769683,0.022288236
278,26,14.24468209,0.098411703,1.401843423,0.017522935
278,27,14.07065934,0.088183308,1.240797286,0.018546002
278,28,14.90100796,0.097220345,1.448681135,0.011167416
278,29,13.78688572,0.107228251,1.478343642,0.015087323
278,30,13.63126637,0.09716095,1.32442679,0.011846971
278,31,13.92702568,0.098145361,1.366872963,0.01276307
278,32,11.44096677,0.123407126,1.411896828,0.016467498
278,33,12.42194891,0.100565405,1.249218323,0.017024219
278,34,14.09218242,0.056400647,0.794808206,0.012278025
278,35,12.97694391,0.063473816,0.82369615,0.011851732
278,36,13.09339705,0.095515642,1.250624225,0.012841318
278,37,11.12200001,0.071612425,0.796473392,0.027656763
278,38,12.22979144,0.081808348,1.000499034,0.017366564
278,39,13.63622093,0.105532417,1.439063353,0.018009586
278,40,12.33761391,0.109769363,1.35429202,0.035320004
278,41,12.51536633,0.056978292,0.713104197,0.031812224
278,42,11.97650523,0.142337942,1.704711107,0.018951934
278,43,12.98173333,0.084535217,1.097413644,0.019204187
278,44,13.7966611,0.09904088,1.366433456,0.01537286
278,45,14.15930942,0.0863063,1.222037607,0.002403898
278,46,NA,NA,NA,NA
278,47,11.06521445,0.18553175,2.052948601,0.007519319
278,48,5.711801897,0.12223793,0.69819884,0.031120057
301,1,14.68288241,0.02856096,0.419357217,0.008080508
301,2,15.45218402,0.033043883,0.510600161,0.000296901
301,3,13.57254355,0.043177724,0.586031539,0.005118556
301,4,14.28953572,0.056258264,0.803904473,0.009741645
301,5,14.95704845,0.053439951,0.799303936,0.006835677
301,6,15.20264152,0.056362486,0.85685867,0.009096331
301,7,14.36511804,0.04723691,0.678563788,0.010002873
301,8,14.79696722,0.060656929,0.89753859,0.000974435
301,9,15.90561152,0.038174934,0.60719567,0.002225083
301,10,13.22536328,0.060441909,0.799366204,0.004806921
301,11,14.035,0.048759494,0.684339498,0.005323476
301,12,14.89688312,0.035717561,0.532080332,0.005922556
301,13,15.31785298,0.06730515,1.030970392,0.007958256
301,14,13.33760869,0.049134474,0.655336387,0.006957948
301,15,15.4247181,0.035988452,0.555111727,0.007393241
301,16,14.00419288,0.031166859,0.436466705,0.00882012
301,17,14.16134414,0.048480635,0.686550956,0.003147076
301,18,14.17566667,0.033968997,0.481533179,0.007791373
301,19,13.02007435,0.049329638,0.642275554,0.004681363
301,20,16.34455978,0.050039511,0.817873779,0.003558669
301,21,15.17968253,0.062321873,0.946026247,0.003497238
301,22,13.34000001,0.059288177,0.790904282,0.005095048
